GDP/breakdown at constant 2005 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",273799060,248751981,246159951,293664670,311110096,328555522,343093376,322740380,334370664,299479812,284941957,293664670,322740380,325647951,360538802,351816089,366353944,348908518,308202525,293664670,1708421661,747405279,771032976,511174110,211168252,468888709,376154198,302172282,244282194,196831827,157514825,163480458,586411148,563444578,558603445,581598830,592865993,678133343,693434784,752104715,792015253,877282603,1096660887,1101530837,1088332984
Afghanistan,"Transport, storage and communication (ISIC I)",172965666,157142805,155505355,185515265,224866988,269840386,297948759,337300482,342922157,292327085,269840386,269840386,281083735,309192109,331678808,241732012,224866988,275462061,258597036,258597036,335301702,312796829,363263341,121671421,78855925,286496926,284605828,283113243,283416452,282784925,280227046,301901206,524278770,743672135,818820310,765497689,894744275,1206223894,1470354472,1735183262,2136033869,2351651724,2836959984,3173290737,3229044167
Afghanistan,Other Activities (ISIC J-P),275384596,250192473,247585432,295365245,311774425,328183605,344592785,328183605,344592785,295365245,295365245,328183605,344592785,361001966,393820326,361001966,377411146,344592785,328183605,328183605,409414797,372465616,412306783,277734169,183867047,368822610,346289758,325590605,308084563,290570525,272190426,232380111,694427418,681748549,738428857,912705675,951318594,1075196907,1229129903,1505932666,1782476088,1962054978,2162208215,2200256186,2308764414
Afghanistan,Total Value Added,6197988523,5980011697,5811080749,6297500801,6609107398,6951196036,7289612994,6779786827,7220037856,7135773775,6964642938,7153123603,7267237478,7548211069,7642718550,7571601596,7742551975,6717368240,6206186783,5883119235,5699597439,5076596285,5158557880,3870727114,3009056750,4511617221,4210707319,3961272326,3778000584,3621230040,3479636628,3282143634,5228037328,5620485729,5620111383,6195989370,6785825119,7977930255,8172777396,9515316183,9775727370,10613995230,11807838400,12569767146,12907934614
Albania,Final consumption expenditure,2503120888,2603686833,2708234154,2815604769,2930282384,3047745303,3163934786,3303093880,3429162258,3539688023,3757822543,3837059572,3892744760,4109158701,4253974389,4276767740,4469472743,4654771278,4631561177,4886251036,5230577004,4978408511,5882120473,5826833941,5840698809,6144771972,6948604316,5398980707,5055516336,5227006893,5298463403,5365748666,5755284331,6261237304,6829055201,7204022607,7455337600,9073449839,10251719877,10360786681,10562080606,10735019058,10810068740,11020222962,11083845831
Albania,Household consumption expenditure (including Non-profit institutions serving households),2331540971,2425169123,2522580023,2622668220,2729222486,2838924123,2947392831,3075560468,3195216574,3298242007,3494064707,3583057251,3627352182,3837551764,3964396340,3983725037,4165736936,4342916661,4334460356,4587344145,4923582941,4398173244,5417085616,5417260921,5310846059,5557455535,6240189227,4676587040,4339565764,4470786198,4588200799,4567072118,4915182146,5457731112,5969617968,6328685284,6625374260,8222234604,9342002414,9407749983,9564129741,9734103772,9804517602,9982470348,10058723000
Albania,General government final consumption expenditure,200538084,208629616,216982062,225523551,234916220,244099841,253218003,265502056,273859759,282655304,305883054,300361700,310741847,321342848,339232037,342544850,356016956,367280519,355133539,363305144,378764937,585625338,519576275,474762263,569135717,622117661,738098714,707893170,693741185,729766332,695744092,766630523,809346191,794173505,852957996,875337324,846545457,906103466,983100298,1019851629,1060297411,1067204461,1072819635,1103564899,1095382704
Albania,Gross capital formation,437498977,454799765,472892753,492888788,510915775,531605789,558081016,569019500,598843203,645373700,601908928,697801914,802201535,724997371,632971038,680917531,703215228,620855526,640704343,763792786,529473635,113593123,80119611,258853854,429199693,478899322,640078029,785112285,1048936845,1338413363,1790769409,2231406615,2331751737,2750347851,2825032333,2962116865,3346793772,3529344213,3669120053,3716121731,3438521133,3653680379,3358746468,3068821435,3283277618
Albania,Gross fixed capital formation (including Acquisitions less disposals of valuables),744111076,773885756,804604266,837635859,870550828,904270481,945088090,977261859,1013457272,1078800038,1080425384,1130233065,1297360260,1303025589,1353541436,1229612372,1287918046,1298776592,1278947942,1381868079,1371481643,208042469,146736711,474083228,786066634,877090073,1048851167,858713137,948885558,1230298315,1699222312,2117334567,2212549745,2609744369,2680610949,2810682433,3175692882,3348910646,3481540612,3515532136,3217795825,3409039975,3025118653,3060105301,3320231193
Albania,Changes in inventories,-325963898,-339223580,-352646194,-366508689,-382326652,-396184965,-411450641,-433967963,-440804171,-460862981,-508474762,-459966920,-526698332,-614210354,-764860666,-583018913,-621212074,-719666100,-677714342,-656729822,-893130458,-100346831,-70776718,-228668449,-379149965,-423054062,-434743658,-80291403,102782227,110449789,91546879,114071710,119201648,140603216,144421103,151434432,171100910,180433588,187579464,201213577,223368577,248043404,343152352,,-49001111
